No.,캠퍼스,과목명,개설학과,대표강사,강의실 / 강의시간
1,서울,4차산업혁명과특허,대학(전체),오세훈,"310관 B501호 <대형강의실> 화10,11"
2,서울,4차산업혁명시대의기업경영,대학(전체),박정수,"310관 B603호 <대형강의실> 월7,8,9"
3,서울,4차산업혁명시대의기업경영,대학(전체),박정수,"310관 B601호(화4,5,6)"
4,서울,4차산업혁명시대의기업경영,대학(전체),이재열,"310관 B602호 <대형강의실> 화7,8,9"
5,서울,4차산업혁명시대의기업경영,대학(전체),박정수,"310관 B602호 <대형강의실> 수4,5,6"
6,서울,4차산업혁명시대의기업경영,대학(전체),이재열,"310관 B601호 <대형강의실> 목7,8,9"
7,서울,4차산업혁명시대의기업경영,대학(전체),이재열,"310관 B502호 <대형강의실> 금4,5,6"
8,서울,ACT,대학(전체),김재경,"310관 718호 <강의실> 월3,4"
9,서울,ACT,대학(전체),최민지,"310관 718호 <강의실> 월5,6"
10,서울,ACT,대학(전체),최민지,"310관 718호 <강의실> 월7,8"
11,서울,ACT,대학(전체),김재경,"310관 718호 <강의실> 화3,4"
12,서울,ACT,대학(전체),김책,"310관 801호 <강의실> 화3,4"
13,서울,ACT,대학(전체),김책,"310관 503호 <강의실> 화5,6"
14,서울,ACT,대학(전체),김재경,"310관 718호 <강의실> 화5,6"
15,서울,ACT,대학(전체),도선재,"310관 718호 <강의실> 화7,8"
16,서울,ACT,대학(전체),도선재,"310관 718호 <강의실> 수1,2"
17,서울,ACT,대학(전체),도선재,"310관 718호 <강의실> 수3,4"
18,서울,ACT,대학(전체),이대영,"310관 718호 <강의실> 수6,7"
19,서울,ACT,대학(전체),이대영,"310관 718호 <강의실> 수8,9"
20,서울,ACT,대학(전체),허연정,"310관 718호 <강의실> 목1,2"
21,서울,ACT,대학(전체),허연정,"310관 718호 <강의실> 목3,4"
22,서울,ACT,대학(전체),최민지,"310관 718호 <강의실> 목5,6"
23,서울,ACT,대학(전체),최민지,"310관 718호 <강의실> 목7,8"
24,서울,ACT,대학(전체),김재경,"310관 718호 <강의실> 금3,4"
25,서울,ACT,대학(전체),도선재,"310관 718호 <강의실> 토1,2"
26,서울,ACT,대학(전체),도선재,"310관 718호 <강의실> 토3,4"
27,서울,ACT,대학(전체),허연정,"310관 804호 <강의실> 토3,4"
28,서울,ACT,대학(전체),김스완,"310관 819호 <강의실> 목5,6"
29,서울,ACT,대학(전체),김재경,"310관 718호 <강의실> 금5,6"
30,서울,ARTS OF KOREA,대학(전체),윤병희,"310관 705호 (화4,5,6)"
31,서울,BUSINESS COMMUNICATIONS(1),경영경제대학경영학부(서울),신정원,"310관 513호 <강의실> 수7,8,9"
32,서울,BUSINESS COMMUNICATIONS(1),경영경제대학경영학부(서울),신정원,"310관 721호 <강의실> 월7,8,9"
33,서울,BUSINESS COMMUNICATIONS(1),경영경제대학경영학부(서울),갈라스,"310관 801호 <강의실> 수1,2,3"
34,서울,Behavioral Finance,경영전문대학원Global MBA,여은정,310관 901호 <첨단강의실> 월(13:30~14:45) / 수(13:30~14:45)
35,서울,CAU CAMPUS CEO,대학(전체),김원용,"310관 726호 <강의실> 목7,8,9"
36,서울,CAU세미나,창의ICT공과대학전자전기공학부,백광현,310관 613호 (화10)
37,서울,CAU세미나,소프트웨어대학소프트웨어학부,김효수,310관 613호 <강의실> 월9
38,서울,CAU세미나,창의ICT공과대학융합공학부,유승민,310관 729호 <강의실> 수6
39,서울,CAU세미나,공과대학사회기반시스템공학부,전창현,310관 414호 <강의실> 목10
40,서울,CAU세미나,소프트웨어대학소프트웨어학부,김은우,310관 613호 <강의실> 목9
41,서울,CAU세미나,창의ICT공과대학전자전기공학부,정진곤,310관 B502호 <대형강의실> 화10
42,서울,CAU세미나,경영경제대학산업보안학과,이재우,310관 603호 <강의실> 화10
43,서울,CAU세미나(1),경영경제대학경제학부(서울),허식,310관 925호 <강의실> 화10
44,서울,CAU세미나(1),공과대학건축학부,이차돈,310관 523호 <강의실> 금5
45,서울,CAU세미나(1),공과대학에너지시스템 공학부,김신,310관 419호 <강의실> 화9
46,서울,CAU세미나(1),경영경제대학국제물류 학과,폴린라이,310관 602호 <강의실> 목4
47,서울,CAU세미나(1),경영경제대학경영학부(서울),송수영,310관 928호 <강의실> 월10
48,서울,CAU세미나(1),경영경제대학경영학부(서울),이관영,310관 310호 <강의실> 월4
49,서울,CAU세미나(1),경영경제대학광고홍보학과,이명천,310관 932호 <강의실> 수10
50,서울,CAU세미나(1),경영경제대학응용통계학과,황범석,310관 601호 <강의실> 수3
51,서울,CAU세미나(1),공과대학기계공학부,김석민,310관 530호 <김석민> 금9
52,서울,CAU세미나(1),공과대학건축학부,윤승현,310관 523호 <강의실> 금3
53,서울,CAU세미나(1),경영경제대학국제물류 학과,박근식,310관 602호 <강의실> 화4
54,서울,CAU세미나(1),경영경제대학경영학부(서울),허석균,310관 922호 <강의실> 월4
55,서울,CAU세미나(1),경영경제대학광고홍보학과,성민정,310관 601호 <강의실> 월4
56,서울,CAU세미나(1),경영경제대학응용통계학과,임예지,310관 601호 <강의실> 월2
57,서울,CAU세미나(1),공과대학에너지시스템 공학부,김동억,310관 420호 <강의실> 화9
58,서울,CAU세미나(1),공과대학기계공학부,김태형,310관 536호 <김태형> 금9
59,서울,CAU세미나(1),경영경제대학경제학부(서울),안일태,310관 702호 <강의실> 수10
60,서울,CAU세미나(1),경영경제대학경영학부(서울),임병하,310관 802호 <강의실> 화4
61,서울,CAU세미나(1),경영경제대학광고홍보학과,김정현,310관 932호 <강의실> 월9
