No.,캠퍼스,과목명,개설학과,대표강사,강의실 / 강의시간
1,서울,100% Language Practice,국제대학원국제학과,제이슨퍼거슨,"303관(법학관) 401호 <첨단강의실> 수7,8,9"
2,서울,1인 미디어의 이해와 활용,사회과학대학미디어커뮤니케이션학부,김희경,"304관(미디어공연영상관) 208호 <미디어랩-1> 금4,5,6"
3,서울,20세기 연극과 동시대연극,예술대학공연영상창작학부,전영지,"공연예술원 303호 <강의실4> 화7,8,9"
4,서울,20세기연기론연구 2,대학원공연예술학과.,강민호,"304관(미디어공연영상관) B101호 <연기연습실1> 화2,3,4"
5,서울,20세기음악사,대학원음악학과,최진호,"302관(대학원) 314호 <강의실> 월4,5,6"
6,서울,20세기의 예술인과 작곡가들,대학원음악이론학과,이재문,"302관(대학원) 303호 <강의실> 월4,5,6"
7,서울,20세기중국사,인문대학아시아문화학부,이강범,203관(서라벌홀) 818호 <강의실> 월(12:00~13:15) / 수(12:00~13:15)
8,서울,20세기한국의형성사,대학(전체),김인식,"102관(약학대학 및 R&D센터) 401호 <강의실> 월7,8"
9,서울,21세기글로벌리즘과한국,대학(전체),백훈,"303관(법학관) 803호 <강의실> 수1,2,3"
10,서울,3D애니메이션III,첨단영상대학원영상학과,장욱상,"301관(중앙문화예술관) 804호 <첨단영상대학원 컴퓨터실습실> 월10,11,12"
11,서울,4차산업혁명과인재개발,대학(전체),송해덕,재택
12,서울,4차산업혁명과특허,대학(전체),오세훈,"310관 B501호 <대형강의실> 화10,11"
13,서울,4차산업혁명시대의기업경영,대학(전체),이재열,"303관(법학관) 803호 <강의실> 월4,5,6"
14,서울,4차산업혁명시대의기업경영,대학(전체),박정수,"310관 B603호 <대형강의실> 월7,8,9"
15,서울,4차산업혁명시대의기업경영,대학(전체),박정수,"310관 B601호(화4,5,6)"
16,서울,4차산업혁명시대의기업경영,대학(전체),이재열,"310관 B602호 <대형강의실> 화7,8,9"
17,서울,4차산업혁명시대의기업경영,대학(전체),박정수,"310관 B602호 <대형강의실> 수4,5,6"
